date,diamond price,inflation rate,gold price,BTC_Close,BTC_Volume,BTC_Marketcap,ETH_Close,ETH_Volume,ETH_Marketcap,DOGE_Close,DOGE_Volume,DOGE_Marketcap
6/4/2021,10385.16,2.4,1890.97,36894.40533,41831090187,6.91E+11,2688.194999,34173841611,3.12E+11,0.37632255,5889983048,48877461705
6/3/2021,10385.16,2.42,1871.36,39208.76599,35460750427,7.34E+11,2855.126531,30038207402,3.32E+11,0.39996289,6809900030,51942452228
6/2/2021,10378.43,2.44,1907.75,37575.17958,33070867190,7.04E+11,2706.124971,27723267359,3.14E+11,0.42337353,11425588479,54976914119
6/1/2021,10376.1,2.46,1900.49,36684.92452,34639423297,6.87E+11,2633.518417,27363223090,3.06E+11,0.37007655,5796031087,48050998401
5/31/2021,10368.67,2.48,1905.74,37332.85369,39009847639,6.99E+11,2714.945344,31007383150,3.15E+11,0.32581045,2440829325,42298953606
5/30/2021,10365.69,2.5,1909.29,35678.1292,31646080921,6.68E+11,2390.305302,25876619428,2.77E+11,0.30222359,1929947933,39232589726
5/29/2021,10367.29,2.52,1909.29,34616.068,45231013335,6.48E+11,2279.514177,33773720220,2.65E+11,0.30310971,2470710737,39344899569
5/28/2021,10359.25,2.42,1909.49,35697.60639,55200191952,6.68E+11,2419.90629,39999114805,2.81E+11,0.31120487,3289455640,40391360016
5/27/2021,10349.93,2.42,1896.79,38436.96854,43210968721,7.20E+11,2736.488586,33373635283,3.18E+11,0.33294531,2485942309,43208473793
5/26/2021,10344.62,2.4,1896.74,39294.19738,51346735160,7.36E+11,2888.698681,42499766020,3.35E+11,0.35369307,3355793260,45896157271
5/25/2021,10341.16,2.42,1899.14,38402.22385,56211915803,7.19E+11,2706.628981,49558333256,3.14E+11,0.34630195,5544552739,44932307822
5/24/2021,10333.48,2.44,1880.24,38705.97864,67359584098,7.24E+11,2643.590995,53697121740,3.07E+11,0.36616223,6821088755,47504120043
5/23/2021,10331.22,2.432,1881.3,34770.58362,78469274361,6.51E+11,2109.579852,56005721977,2.45E+11,0.30807063,7143545371,39963404929
5/22/2021,10337.47,2.436,1882.36,37536.63111,57377273240,7.02E+11,2295.705657,42089937660,2.66E+11,0.34237123,5243222352,44408253680
5/21/2021,10331.26,2.43,1881.3,37304.69067,82051616861,6.98E+11,2430.621385,53774070802,2.82E+11,0.35938192,7452862203,46609753575
5/20/2021,10329.37,2.41,1876.84,40782.73826,88281943359,7.63E+11,2784.294158,67610826680,3.23E+11,0.40019368,12415484460,51897302336
5/19/2021,10326.66,2.48,1869.59,37002.44047,1.26E+11,6.92E+11,2460.6792,84482912776,2.85E+11,0.33312345,15072620946,43194982873
5/18/2021,10324.2,2.52,1869.89,42909.40093,56187365084,8.03E+11,3380.070093,40416525218,3.92E+11,0.47611501,4802902841,61729644541
5/17/2021,10322.89,2.54,1865.79,43537.51139,74903638450,8.15E+11,3282.397796,54061732774,3.80E+11,0.48789165,7330830504,63249211418
5/16/2021,10318.45,2.56,1861.69,46456.05847,64047871555,8.69E+11,3587.506206,47359478734,4.16E+11,0.51489521,9541552064,66742824282
5/15/2021,10315.46,2.58,1857.59,46760.18656,59161047474,8.75E+11,3638.122042,42422321751,4.22E+11,0.50797205,9836892944,65838461456
5/14/2021,10314.04,2.51,1843.19,49880.53342,55737497453,9.33E+11,4079.057459,48174271215,4.73E+11,0.55960438,20466177002,72522897885
5/13/2021,10308.93,2.51,1827.01,49716.1916,96721152926,9.30E+11,3715.148466,78398214539,4.30E+11,0.49037394,18663174069,63544125614
5/12/2021,10305.53,2.54,1816.49,49150.53388,75215403907,9.20E+11,3785.848603,69023382175,4.39E+11,0.38537602,8621337859,49932901319
5/11/2021,10304.55,2.53,1837.39,56704.57306,61308396325,1.06E+12,4168.701049,52679737865,4.83E+11,0.49523086,14566975476,64161634641
5/10/2021,10297.42,2.54,1835.94,55859.79754,71776546298,1.04E+12,3952.293872,62691789007,4.58E+11,0.44996367,16514521828,58290605343
5/9/2021,10298.41,2.55,1840.69,58232.31614,65906690347,1.09E+12,3928.844706,50568290278,4.55E+11,0.57007049,46138063928,73841942943
5/8/2021,10299.44,2.558,1840.69,58803.77581,65382980634,1.10E+12,3902.647734,50208491286,4.52E+11,0.63643918,25555125135,82429781487
5/7/2021,10292.55,2.49,1830.86,57356.40188,68434023376,1.07E+12,3484.728895,39607240515,4.03E+11,0.68477698,28615083657,88680824303
5/6/2021,10282.05,2.45,1815.57,56396.51416,69523285106,1.05E+12,3490.880459,44300394788,4.04E+11,0.58080387,18989900291,75207782074
5/5/2021,10281.39,2.47,1785.65,57424.00595,69241316747,1.07E+12,3522.78319,48334198383,4.08E+11,0.65763288,42525098292,85147176077
5/4/2021,10276.45,2.42,1779.04,53333.53775,68564706967,9.97E+11,3253.62947,62402045158,3.77E+11,0.54133438,38238126181,70081925802
5/3/2021,10277.58,2.42,1792.32,57200.29122,51713139031,1.07E+12,3431.08614,49174290212,3.97E+11,0.44170671,10526649978,57177802914
5/2/2021,10271.92,2.42,1787.05,56631.07741,38177405335,1.06E+12,2952.056055,28032013047,3.42E+11,0.3760461,8040406918,48672985630
5/1/2021,10266.48,2.42,1807.4,57828.05063,42836427360,1.08E+12,2945.892708,28726205272,3.41E+11,0.39298743,10123343703,50860335491
4/30/2021,10259.99,2.41,1768.95,57750.17735,52395931985,1.08E+12,2773.207132,29777179889,3.21E+11,0.33756111,5290390982,43681559535
4/29/2021,10250.67,2.42,1770.8,53555.10849,46088929780,1.00E+12,2756.876994,32578127990,3.19E+11,0.30516938,5027354503,39485786704
4/28/2021,10244.09,2.41,1780.92,54824.7049,48000572955,1.02E+12,2746.380053,34269031076,3.18E+11,0.32368163,14464343767,41876610359
4/27/2021,10241.67,2.39,1776.5,55033.11801,49448222757,1.03E+12,2662.865246,32275969215,3.08E+11,0.2721883,3590611310,35210893019
4/26/2021,10237.52,2.36,1780.44,54021.75479,58284039825,1.01E+12,2534.481799,35208325408,2.93E+11,0.27067449,5118886527,35011409694
4/25/2021,10229.39,2.336666667,1778.806667,49004.25326,46117114240,9.16E+11,2316.059659,31814355546,2.68E+11,0.25111084,6849914675,32477418138
4/24/2021,10228.12,2.311666667,1778.566667,50050.86822,49014494781,9.35E+11,2211.625808,31854226936,2.56E+11,0.27021226,11057578568,34944176235
4/23/2021,10226.91,2.34,1778.18,51093.65071,86668667320,9.55E+11,2363.586201,55413933925,2.73E+11,0.24850933,16165566164,32134070797
4/22/2021,10226.87,2.33,1784.25,51762.27205,74798630778,9.67E+11,2403.535241,53575904724,2.78E+11,0.26096732,11879823706,33741377335
4/21/2021,10220.96,2.33,1793.9,53906.08805,54926612466,1.01E+12,2364.751822,38899067643,2.73E+11,0.30692451,12723463706,39679105903
4/20/2021,10219.47,2.32,1778,56473.03228,67849323955,1.06E+12,2330.210937,39433483315,2.69E+11,0.31949967,28130646191,41300434109
4/19/2021,10211.07,2.34,1770.31,55724.2671,65344865159,1.04E+12,2166.188766,34060654971,2.50E+11,0.40731778,30641432779,52646623418
4/18/2021,10207.65,2.335,1779.5,56216.185,97468872758,1.05E+12,2237.137028,50696368718,2.58E+11,0.32047533,23464350388,41417581076
4/17/2021,10203.66,2.337,1782.5,60683.82123,66138759198,1.13E+12,2344.894981,32349808978,2.71E+11,0.28417344,31413404067,36722073277
4/16/2021,10202.06,2.36,1782.5,61572.7896,84293007468,1.15E+12,2431.946504,36196928256,2.81E+11,0.36587002,69410680685,47274068218
4/15/2021,10199.11,2.33,1763.6,63314.01085,60954381579,1.18E+12,2519.1161,32325606817,2.91E+11,0.18220744,17916620386,23540494382
4/14/2021,10193.51,2.33,1737.1,63109.69593,77451779687,1.18E+12,2435.105019,35592822986,2.81E+11,0.12151736,20977679327,15697925271
4/13/2021,10193.1,2.33,1744.3,63503.45793,69983454362,1.19E+12,2299.187786,29456642939,2.65E+11,0.09344469,7176815090,12070137895
4/12/2021,10182.95,2.33,1733.4,59893.45189,51828688519,1.12E+12,2139.353196,21727936609,2.47E+11,0.07076687,2687720380,9139899746
4/11/2021,10175.64,2.33,1744.1,60204.96491,46280252580,1.12E+12,2157.657037,19692836132,2.49E+11,0.07464893,6646627317,9640258366
4/10/2021,10175.67,2.33,1744.1,59793.23541,58238470525,1.12E+12,2135.942201,24986243611,2.47E+11,0.06384492,1369793118,8244132101
4/9/2021,10172.99,2.31,1744.1,58245.003,46655208546,1.09E+12,2072.108876,19812472092,2.39E+11,0.06168375,1060465774,7964226155
4/8/2021,10170.01,2.33,1756.38,58323.95358,53053855641,1.09E+12,2088.573651,25312956529,2.41E+11,0.06146385,1055257541,7934992305
4/7/2021,10167.26,2.34,1737.65,56048.93781,75645303584,1.05E+12,1971.077255,36116271935,2.27E+11,0.05902847,2857060849,7619768371
4/6/2021,10164.47,2.32,1744.15,58192.35868,66058027988,1.09E+12,2118.378959,29222865881,2.44E+11,0.06445823,2608613912,8319797961
4/5/2021,10161.57,2.35,1728.1,59057.87897,60706272115,1.10E+12,2107.887097,28889391170,2.43E+11,0.05969593,1513832721,7704287493
4/4/2021,10162.35,2.36,1729.8,58758.55629,50749662970,1.10E+12,2093.122853,26006501902,2.41E+11,0.0574037,938035097.3,7407664648
4/3/2021,10156.21,2.35,1719.666667,57603.88917,59641344484,1.08E+12,2028.422439,32011518871,2.34E+11,0.0558036,1136931403,7200412904
4/2/2021,10153.34,2.37,1729.8,59384.31336,58727860620,1.11E+12,2143.225632,34862511022,2.47E+11,0.05766378,2166925111,7439646120
4/1/2021,10155.28,2.35,1729.8,59095.80798,61669163792,1.10E+12,1977.276888,30914259795,2.28E+11,0.06198606,5816046822,7996434168
3/31/2021,10152.17,2.36,1707.2,58918.83271,65520826225,1.10E+12,1918.362061,30226902621,2.21E+11,0.05365728,653389282.4,6921249082
3/30/2021,10152.62,2.34,1685.25,58917.69305,54414116432,1.10E+12,1846.033698,22512781703,2.13E+11,0.05390039,728906171.1,6951867440
